No.,Time,Source,Destination,Protocol,Length,Info
18,0.074701,befe:a23c:4ecf:cabd:4909:6027:b158:a15a,e5f3:cc02:c740:aa88:3103:3ef4:164a:4ff5,UDP,404,371 > 44373 Len=404
19,0.099733,4a10:b2b5:bf9a:5492:1484:42ed:72f8:f9cb,4b0b:60b7:823d:c916:7e01:bba:9225:e707,UDP,452,94 > 33087 Len=452
20,0.08611,bded:c807:895d:d938:25f1:3b33:8198:76b7,132:246e:d667:edcf:3b39:8538:c201:2a05,UDP,281,812 > 57666 Len=281
21,0.059641,74c0:99a0:449f:6e59:7fdf:23ba:dd5c:b85f,b748:7f6a:35e3:dc36:dd9d:ab97:6d12:fbb0,UDP,439,542 > 46476 Len=439
22,0.097108,88a6:242e:cc44:aaf2:d4e6:5517:7160:f23a,7ca2:c766:6605:49ed:ffa:815d:d6e4:b544,UDP,258,699 > 47486 Len=258
23,0.07686,2184:cca0:48f0:a66a:7a42:34ba:b5ef:b6c0,cf58:e163:cf2d:a4a7:f511:4c36:8097:3f3c,UDP,350,446 > 40365 Len=350
24,0.045372,b920:5f53:6304:edec:ceaa:6299:38f0:83b9,ec5a:4cd6:2d1a:993:c750:9242:8c5b:47bd,UDP,291,520 > 36973 Len=291
25,0.087052,c064:dfda:b7cd:957f:80f2:ab18:7c10:25f8,6ede:ad27:b6c0:d16f:168:19fb:98f2:97b1,UDP,459,624 > 43035 Len=459
26,0.015284,152c:25b:7918:6f04:4f7:7b2f:8580:9d6c,b44c:2c45:221a:49ea:19d6:6a0d:d500:57e9,UDP,471,941 > 30037 Len=471
27,0.059894,72b3:b137:189f:aed5:41b6:6165:c4bc:5057,7e0d:607c:a882:4663:db79:fe3d:a63f:c7b2,UDP,257,952 > 53788 Len=257
28,0.087872,9049:b1cd:12:1a39:35:4f4f:4577:2242,653f:3e3d:281d:7afd:dd93:59c0:9f80:1e83,UDP,229,247 > 35161 Len=229
29,0.008565,80e9:210e:b93f:f9c2:ee0c:40cd:b05e:8252,d250:f6df:fbec:c351:ea31:ec94:cef2:b46a,UDP,472,785 > 38241 Len=472
30,0.012839,3a33:cbff:9cde:6cd3:13d0:fb9a:b7d9:b5f2,13fd:987d:c24d:1b1f:f27f:935f:aa53:e009,UDP,284,272 > 64581 Len=284
31,0.087243,9cef:c11d:15ed:5a05:f132:cfd5:7487:e992,7da4:2aee:5570:da45:9498:ada5:6609:a82b,UDP,476,774 > 43182 Len=476
32,0.071295,9861:e4af:4e95:fdd:7e0b:a62b:db5b:4ff9,b4dd:688c:c618:a1a6:b382:3106:d0df:ba22,UDP,391,449 > 63919 Len=391
33,0.045149,5a61:2a7c:b858:ba6c:2bee:6a09:2cd3:3d76,795f:1865:2fa4:4356:8d97:e89e:b50d:38f5,UDP,232,347 > 31378 Len=232
34,0.058831,10ac:796:128c:6475:9a24:2515:f48d:4cf1,8373:4158:48a8:7d1:396:a622:5406:48ec,UDP,312,8 > 34652 Len=312
35,0.070784,1284:46b6:5d78:70d4:346f:79d5:4704:fc81,8353:760d:ddf:73cc:efa7:6d01:6937:edfb,UDP,234,928 > 32058 Len=234
36,0.085964,3cd0:231f:eda8:358d:344f:76f1:a6fa:a965,e27f:4b20:7158:dbc0:2b56:2b65:3677:7a5d,UDP,321,286 > 61812 Len=321
37,0.021424,2cd4:1010:ab6a:638c:dc18:c50:7727:aac3,573b:abc:a7d1:c253:7491:dec8:caef:bc35,UDP,492,591 > 60976 Len=492
38,0.0243,c62e:2204:8494:8d73:f999:1950:ba83:a2c,9773:a822:e037:83fb:80c2:cb8c:695c:5d83,UDP,297,97 > 36352 Len=297
39,0.065898,cdcb:9403:2189:f472:5f95:a62a:b624:c427,a04f:985a:db5e:1868:399e:6af3:618c:4e55,UDP,410,479 > 33550 Len=410
40,0.067336,27dc:e305:4c54:7122:6a3f:b334:c360:c0a8,d513:333d:f14a:a2c1:ca15:9d41:f997:ea5f,UDP,406,746 > 52236 Len=406
41,0.080059,e356:f9d5:e9fb:16fc:4ce1:7143:37e0:2f48,8b36:1613:5fa7:4be1:bad7:dca6:6e8b:c6e3,UDP,298,195 > 59400 Len=298
42,0.014018,ef78:94c8:16a1:227d:adca:5569:f452:3196,fd2:d309:911a:79f2:bff2:c679:9317:3aae,UDP,436,256 > 34940 Len=436
43,0.044313,edf8:f121:93e5:4480:e287:f716:8197:decd,82a2:8991:e260:70c0:a7a9:5179:7ea0:5d6a,UDP,476,857 > 30967 Len=476
44,0.0969,2b2b:cae7:df28:1ac9:745f:4cc9:9c92:8d33,ad19:5f20:b988:672f:2332:bb31:45a3:39aa,UDP,408,498 > 61546 Len=408
45,0.021375,6938:ad1c:a1f5:d85a:1726:8b87:8ef5:1e37,6a07:e8b0:777c:fb8c:a95b:ea9d:10e6:1bb9,UDP,284,389 > 30141 Len=284
46,0.098531,54c:acb0:8dfa:87f6:fadd:29b2:d654:da5e,bf97:5f61:8ccb:c3e4:6a5c:52cd:b0ec:6a42,UDP,432,293 > 57722 Len=432
47,0.069659,67c7:bff0:6d01:766a:5936:5bef:ef69:e980,3ae3:eb35:2d15:67f:7f62:777c:83fc:d4f5,UDP,297,304 > 44267 Len=297
48,0.096871,9a47:3b56:6701:419e:c916:99b3:cec1:92af,517c:e973:c444:c68c:e59b:8457:5773:2b6c,UDP,360,59 > 33286 Len=360
49,0.058418,1bae:dff2:b1b8:a72f:ad79:7917:3aea:77e4,67e1:63d6:b344:8462:c65e:e788:21:8c3e,UDP,460,83 > 42178 Len=460
50,0.006852,5c3e:ef25:fe0b:f15f:dd74:5345:ab85:329d,a82d:7166:ee30:b7d:cdb4:81a6:d1ff:4256,UDP,320,414 > 37856 Len=320
51,0.09416,8d88:e312:e00b:9055:7139:1272:b8ad:f9d9,50f4:77df:ab87:fa8f:e72f:d821:aa2b:aead,UDP,220,635 > 35372 Len=220
52,0.041922,a033:f60:cf:af04:347f:33bc:378f:9002,effa:8308:a66c:9810:3b3f:9604:bb48:c68d,UDP,304,686 > 50590 Len=304
53,0.023869,4041:8b1a:6ebf:9947:eeeb:dfad:fe65:c560,83fc:2e50:e0b8:a957:e743:d686:73f9:1bb1,UDP,353,469 > 50720 Len=353
54,0.092902,c541:3940:f149:ca4e:966:6c5d:fc6a:9317,cd9d:9a75:8012:6d07:1edf:7b17:f181:5092,UDP,434,637 > 36552 Len=434
55,0.007326,4029:9ddf:1910:c062:b925:6781:eb97:584f,2517:a64d:c625:19f2:e6f4:37ae:6a8e:681d,UDP,335,136 > 52872 Len=335
56,0.088086,d20c:73c8:d96e:2408:2888:ea4b:e34f:3524,bead:7102:ad80:ac64:69c9:11bd:9a84:735d,UDP,345,162 > 58716 Len=345
57,0.083374,fdee:869:cfd9:9995:7fd8:1226:ca65:e9a0,2d41:1fb0:866b:99b3:c6b:7ad0:60e2:4215,UDP,470,9 > 49620 Len=470
58,0.093176,b56:fdcc:7dba:300e:2c0b:9592:27e1:1a09,d4cd:b178:20bc:9931:8db7:6bac:f6d4:1f7f,UDP,335,119 > 37014 Len=335
59,0.074242,4649:7553:f992:b134:c16e:e45f:1787:c785,50f2:9e3f:6769:b419:639:803:e23:c132,UDP,344,620 > 43803 Len=344
60,0.071761,1ecf:704b:7b67:cf96:c47e:f787:4314:330d,d7a1:610c:8fc4:8b4e:4665:d980:b682:3dd7,UDP,335,518 > 62016 Len=335
61,0.025112,3689:578f:8524:7812:2cd6:3629:b383:3fc7,936d:ba24:bdf2:2193:461a:cd9b:5e13:33f6,UDP,416,850 > 48132 Len=416
62,0.004409,eb14:7016:d40:a8b8:ff71:97cd:a7c4:e8f1,6d69:2b09:1361:a84c:eeb6:f146:7f0d:a585,UDP,266,653 > 47167 Len=266
63,0.016158,9ba0:306a:2672:f7e4:31f6:d9df:7d50:b551,29cb:6ec3:1923:94b1:bf90:b090:1e43:941b,UDP,418,575 > 30633 Len=418
64,0.011187,76ea:c909:3cd4:3b26:cb57:b21e:8e3d:2d3e,83a8:dd8b:e0cd:bf51:313c:a93e:4465:c499,UDP,218,855 > 54196 Len=218
65,0.058251,991d:c8a1:2f98:5c7b:97f6:6b4d:d4e:5849,31c1:8b30:d07c:740d:4c97:c2c5:c2c3:e1ba,UDP,265,43 > 50202 Len=265
66,0.036465,7f37:5872:151e:37cc:a203:a052:d53e:e0a,d2a4:d40b:80d5:302f:414c:b986:7a16:2999,UDP,307,699 > 46353 Len=307
67,0.066693,10f7:9ab5:a0d0:4e46:ad51:8409:27d:1af3,8c63:bb69:511a:4075:804a:f34f:7843:8ce2,UDP,486,906 > 56632 Len=486
68,0.097384,b5ce:b715:100e:7fef:ee1b:e2f0:11e:140a,a4c0:bd26:6509:40b7:d62:3659:138c:7160,UDP,283,1000 > 41603 Len=283
69,0.088142,2821:88ac:e3b7:c5c:7447:edc1:90c:f3a8,9f54:a43e:f712:8b99:ad9a:ccd0:2698:c7cf,UDP,370,802 > 56982 Len=370
70,0.080224,6f43:86b3:d385:ac58:5825:5430:6c10:8006,5648:f03d:d7b7:29a5:eb6f:fe0e:7196:98cc,UDP,281,807 > 37084 Len=281
71,0.038254,c822:de32:8d1d:7060:11d0:5c05:65c4:2ab5,7365:3a52:ab6b:269c:6efd:f1cd:e125:b761,UDP,313,205 > 60166 Len=313
72,0.034966,b685:c42:bed9:c6bf:dfa7:96a4:42f7:c5f3,9605:a8c1:9eaa:8263:d580:e6d7:c34e:37bc,UDP,212,676 > 42656 Len=212
73,0.039847,6ea0:7b33:e050:4387:4199:fc64:f3d4:ceef,be03:4bcb:bb51:9bd7:60a2:c146:2fab:68c4,UDP,342,360 > 63384 Len=342
74,0.039968,62dd:786d:5ffb:3318:175e:94a7:b3a:5a64,35:a32c:7845:38c:1fe3:b764:7f1d:6a6a,UDP,259,899 > 47118 Len=259
75,0.017857,5f18:cf01:fcd4:ded7:c46d:e6bc:c3ee:ad89,5805:8e6f:45dc:6a0c:89c5:7d62:ae4e:9f5f,UDP,255,611 > 58479 Len=255
76,0.034569,3bff:fc71:c03a:2922:26c0:34a8:f00b:719,a44b:591b:97d0:6957:65fb:e86:ef61:2af9,UDP,461,119 > 55244 Len=461
77,0.08995,74d3:e1db:e517:cd5a:ef4b:3a34:a945:4eb0,e6af:9b16:4259:6822:20b6:562f:cd49:dfec,UDP,222,726 > 58577 Len=222
78,0.000169,ebae:12c1:2ae1:8707:4283:19e1:38a4:a89c,3576:9afd:f675:14a:5e94:392a:1e25:b04b,UDP,420,72 > 51639 Len=420
79,0.062316,6771:a45b:9849:2a9f:371a:f5d4:ef16:afa3,bfd3:8129:49f:85f4:14fb:192b:bc60:3242,UDP,353,520 > 50269 Len=353
80,0.066689,5fd1:b251:fbef:89f5:4245:7093:e8fb:e848,56aa:8a:d0ce:892a:13c0:4d37:843:a280,UDP,351,568 > 38341 Len=351
81,0.019184,c22c:9d12:47d5:11e3:4c6b:e7a5:9ab2:9cb7,b416:c4bd:7214:227a:dfa:26d7:b1bc:43b8,UDP,289,631 > 49723 Len=289
82,0.040608,4cb1:c3c9:fa29:4bde:a031:20d4:853c:ed39,bbfb:4c62:dc29:95b0:eb28:710b:76a1:5c08,UDP,346,216 > 58173 Len=346
83,0.078576,fe2f:6a81:feb4:e598:3cce:6d9b:ab46:bb0d,887e:cf4b:2cfc:2a28:4178:710a:68dc:1b51,UDP,426,453 > 44005 Len=426
84,0.051117,b846:f9a:2c91:15d8:b93:e17d:1eda:d5a8,7110:63e6:ff73:a2ae:e957:e506:9748:b711,UDP,243,291 > 63780 Len=243
85,0.066385,b7be:157:bb4c:17ea:50cc:66a0:5264:1789,6e08:4076:e6df:9986:dbb5:a022:532f:891f,UDP,320,689 > 50343 Len=320
86,0.022464,b5e6:57fb:173c:56fc:f1f0:439c:a57:39ba,ee07:b786:28f2:4d10:b382:dabe:ffec:a220,UDP,212,48 > 46046 Len=212
87,0.098394,e944:ae5a:49b5:3886:4eb0:3ec0:e806:aa92,cddb:97e0:2d2d:5c46:f0:9069:e06d:93cf,UDP,412,908 > 42742 Len=412
88,0.071835,b0da:6a4e:2772:4b8:7425:dd28:608b:d63f,7b83:4345:1d76:d310:8e1f:5ff9:4d5a:3866,UDP,404,250 > 39671 Len=404
89,0.065606,e599:3740:c31b:28e7:a730:4a4:c976:7b74,a64f:e0ed:f005:3030:1de0:e2a3:4e38:7803,UDP,254,798 > 57862 Len=254
90,0.021884,5f78:125f:dfd7:7937:bb87:dd19:476e:d4e6,2f71:3d0:64ed:a2c4:d00:ebdc:718f:8941,UDP,485,256 > 37953 Len=485
91,0.045646,a19:f2c1:3b36:c25:af01:37e7:6a7e:541b,ce8:6a0d:7c6e:5746:a4f6:106f:6f4f:e754,UDP,471,1012 > 50794 Len=471
92,0.095004,fa09:6a50:f891:9735:a2cf:1a1d:d60f:bdfd,f0cf:5097:2b3b:2c73:cd16:5f50:ec1a:65e5,UDP,458,437 > 59223 Len=458
93,0.089721,52b8:a31:b081:ae1d:ac2b:830d:9387:a6be,7e62:3d7c:d34e:cc14:a982:60ad:a2c7:66b4,UDP,332,770 > 46203 Len=332
94,0.083986,abce:3913:3534:73dd:eb74:db3f:188d:be87,4cdf:1a16:da67:d1f1:1da3:189c:2731:6ac7,UDP,466,497 > 45679 Len=466
95,0.02746,c742:97c:3235:d443:d8af:9762:aac:678b,c769:48ed:60d7:c7f1:7134:1eda:6c6b:ce8a,UDP,346,241 > 47807 Len=346
96,0.033585,4b51:fbd:3a06:4a3f:dc9e:8caf:9694:56a2,55ac:b79:d229:561f:1931:5206:95bb:c41b,UDP,277,237 > 55102 Len=277
97,0.069395,545c:a52e:553e:9229:f5fd:8de1:e7f:fbe1,8fad:ea26:4a31:b563:c8f:d41a:76fe:eaf5,UDP,412,418 > 51684 Len=412
98,0.054261,e298:f22c:b9e8:297e:9bf9:8a31:a69c:2ce2,6f85:5344:ff5a:aed5:7c6f:87c7:3eb4:9f3,UDP,305,853 > 57534 Len=305
99,0.038948,7967:fdfb:3550:80f6:bf88:ea04:2657:23d7,58c:670f:ead0:5037:b5e9:4ddd:9722:5fde,UDP,494,390 > 61259 Len=494
100,0.00059,a59a:9cf0:b7a3:9467:ea66:24ac:d7a3:d8fe,6e49:595e:3117:a478:832e:6d50:3edd:ce17,UDP,399,874 > 57460 Len=399
101,0.053822,2d74:8224:bf9d:2163:2fae:fa3f:24c:b844,d91e:ec1e:c9a4:a8b:358d:18c:7261:6cff,UDP,312,280 > 58562 Len=312
102,0.048564,b2fd:beee:2305:ec34:d4c2:e665:f1d2:da8e,1046:72c5:1c:2d2e:b06f:f444:79f:f6bc,UDP,407,742 > 40816 Len=407
103,0.084051,5844:d5f8:38f1:a2bd:8bf9:697:b5be:ef3,5e04:164d:976f:2d0d:b08a:7a7c:58c2:3566,UDP,473,28 > 55822 Len=473
104,0.059189,bb68:96ab:b950:edff:7949:2de9:2a8f:3b48,ea35:2fb:12f:4323:c22:bc0b:3454:4e5c,UDP,419,139 > 60257 Len=419
105,0.018173,3ff8:1ff4:2a1d:3443:6b57:cedf:8fd0:5b77,1012:edda:569c:6878:958f:7e50:9567:cd5d,UDP,367,217 > 59799 Len=367
106,0.032685,64fa:64b9:709a:c7b9:42d:d7c5:aa5a:5ed5,8113:4fc:d911:47a7:3a4f:7413:33c0:d7b8,UDP,415,259 > 35367 Len=415
107,0.047031,f339:c490:2844:353f:d20a:d10a:81b5:5436,cc2c:8893:ea22:bed5:95ad:83a6:2a8d:2d6c,UDP,314,666 > 34496 Len=314
108,0.078123,57e3:f228:9413:59ac:ef0d:870:186d:cdf1,c9a8:39e0:b4b3:f2b0:f59f:f8d1:9429:ff7d,UDP,215,973 > 46205 Len=215
109,0.019936,60ef:370f:b2ed:2e27:35a7:7c1d:e65:362a,b53f:eafc:aba0:fc1a:68f3:89a0:b0d5:5a94,UDP,278,245 > 38272 Len=278
110,0.047356,bfb3:636:2f46:b9b1:377a:63eb:10b:5323,6bcf:ea1f:841c:7aa2:7078:cf04:d319:93ff,UDP,311,477 > 46793 Len=311
111,0.07669,1701:87c9:bad2:6f6e:1418:fb97:edb2:d335,e220:90f7:c9eb:c1aa:e9e3:bfbb:c3e7:5174,UDP,258,797 > 40732 Len=258
112,0.096472,4898:ef74:6a8b:bcc0:86aa:dfb5:dea7:b6af,faae:7895:92c6:b997:da30:8bca:d303:8df8,UDP,213,952 > 50444 Len=213
113,0.05758,b7e0:f42c:df28:7189:6ded:e3d8:afa5:e4a4,bebf:3efb:e8d2:b50f:2c5d:4d3c:4722:dded,UDP,301,78 > 45915 Len=301
114,0.01019,c415:b775:49ec:4409:3be:2a28:5802:c04,3a33:c289:ba6c:9bf3:4e94:3e1f:4a9a:e71c,UDP,261,816 > 32691 Len=261
115,0.03472,81ec:787c:950b:f664:6b4f:f561:aeab:ac30,634b:bf47:f2d1:2d89:a307:8d5:ca28:c12b,UDP,389,71 > 63158 Len=389
116,0.064754,33a6:e485:291d:c522:2acc:336:1277:a6fd,924c:339e:5b2f:5884:a191:8883:d65b:e903,UDP,450,109 > 58411 Len=450
117,0.096079,736b:416e:6514:81b4:b412:dcb3:872b:b016,ba5b:444b:276f:e9e2:c7ac:16c2:3d88:1d4c,UDP,278,446 > 41543 Len=278
118,0.07338,ccf9:58f8:3e10:726e:9995:3a88:6b8f:a62d,c3fc:9b15:e60e:43dc:a6d3:3cb7:e0b3:809c,UDP,475,794 > 61686 Len=475
119,0.046487,565:8d92:1ea7:2409:a030:97a3:be63:f327,68b5:bc43:b625:7f13:c753:e096:a543:7d71,UDP,325,851 > 35679 Len=325
120,0.027893,2864:c938:a6cd:ac3b:730d:2792:8edb:9c2b,fbf8:2825:d37f:5184:2068:474:2f68:a7c1,UDP,437,584 > 54837 Len=437
121,0.03364,a65a:4054:71d:8bdc:cb83:2141:babe:c561,868d:7e69:7361:70c8:e79b:2e5d:cbc:b344,UDP,293,500 > 43901 Len=293
122,0.035482,2fd5:4c65:818d:9a2c:2853:1e0a:1594:292a,68fc:9f01:b363:e8a2:3f38:62e:2bf4:7c3a,UDP,343,902 > 48105 Len=343
123,0.055579,771e:a49c:8ec2:2527:40da:ab12:1916:47be,9f69:2819:f50d:4526:36ba:9d0c:29ba:c0b3,UDP,323,738 > 56635 Len=323
124,0.048858,1603:ed0b:70ef:68ed:1255:1a73:2bd8:64d7,e6f1:e112:e198:4146:395:4ede:3a2e:4f90,UDP,443,662 > 62166 Len=443
125,0.044817,f902:cc34:e234:6e30:be40:d9ff:c194:1c84,f2dd:5c94:24f9:6cf4:b7ad:d3ef:e6eb:5c0d,UDP,350,227 > 56502 Len=350
126,0.069179,f019:c8a3:ba81:4f6c:cb9:5e8b:8dda:8cab,f237:1a14:a2a0:2231:b683:944e:e468:4f67,UDP,497,378 > 61015 Len=497
127,0.055347,7686:8b74:2de9:a8f6:5cd0:1ae6:3d05:b99c,8465:732:550d:fe4c:5f3a:aec:7b25:659a,UDP,481,339 > 53056 Len=481
128,0.070285,efba:8025:42a:a9cc:29db:cd22:ac02:9a,630a:bf0a:38c5:317e:f1f0:c057:ba0a:227,UDP,328,237 > 37907 Len=328
129,0.072128,b18c:29e8:258d:1eda:2bc6:fb1d:6c24:b773,d3d1:58b7:8657:fc94:232:5396:d906:7c36,UDP,474,974 > 42133 Len=474
130,0.019154,7d0b:42a1:2abf:2742:f0bb:5c97:3048:46c5,d64b:14b9:6002:7c7e:e03a:334d:76fe:a919,UDP,468,612 > 48546 Len=468
131,0.098051,444b:6236:8a16:6a6c:4e7b:5369:af5b:5ef0,9f11:7a38:2d38:1ce1:6f24:1d27:35d4:1f0f,UDP,316,370 > 41759 Len=316
132,0.030227,c0f0:dff9:112c:1d46:9f26:b90b:ef0a:d3da,9c36:f2b1:7179:5fea:c364:2091:c5f7:39f9,UDP,223,998 > 33573 Len=223
133,0.055336,ae2c:f338:ebed:db30:ab46:c564:72ae:f36b,f8e1:ae50:290f:bf11:2bbb:57b4:6b98:a338,UDP,451,106 > 30803 Len=451
134,0.057406,ca6a:3cf:8607:db38:7d4b:f91f:bf2c:5bd2,2cf0:dfbc:9808:e131:d6ba:fb8e:223d:c2de,UDP,425,349 > 42082 Len=425
135,0.09655,3c51:bc69:c6a5:8433:38ec:9179:e801:b571,828:b4a6:f05d:8b15:6634:279d:a684:752c,UDP,258,842 > 34282 Len=258
136,0.040071,7084:ce02:e1fe:9a7f:b977:ce53:fd0d:ac39,443:5aad:f98f:191c:13dc:3490:5ee8:a4ba,UDP,227,156 > 39777 Len=227
137,0.081114,8c09:7456:ffc1:e7d6:d7fc:e2e9:8d70:2a77,9387:2646:b878:ef1e:c19f:1eb2:3162:6e51,UDP,327,122 > 57274 Len=327
138,0.060632,4309:9321:ae1e:8742:2825:2e7:839c:9465,af58:c9be:4d4:c388:dcfd:7669:90c0:a304,UDP,467,390 > 59524 Len=467
139,0.09085,2ff2:afcd:1fc2:8169:2030:7677:5c98:6c94,cb46:c0a7:910f:4651:b700:8224:d97c:87f3,UDP,419,313 > 33947 Len=419
140,0.060963,b4ab:304:3e99:189e:4aea:89b1:4aa6:94f5,2a47:da0f:4730:bc05:8a29:67b8:cb4d:d103,UDP,306,641 > 43829 Len=306
141,0.026465,76b9:f157:6f64:3263:87b8:79f7:e1d4:92a5,b820:3bcf:eb00:a27f:c4f5:ec66:8b59:d72b,UDP,322,178 > 34919 Len=322
142,0.015653,c39:b9f6:f618:6ffc:62d9:64ac:d97d:9ccb,9fcd:e01c:461e:ee3:79fd:d21c:948d:2851,UDP,440,299 > 32139 Len=440
143,0.023148,5a06:eb1f:ad50:8ec2:e381:6436:f76:688d,c014:9f00:3846:5f68:d98a:d870:bca2:148d,UDP,432,73 > 45297 Len=432
144,0.092391,3240:b345:86fe:d73a:7d4a:3704:c07e:a999,466:2bb:13c5:587d:5811:8590:3770:5cbb,UDP,258,558 > 44733 Len=258
145,0.064763,1c89:4fa0:38fa:4dd2:a5e7:c71c:7b33:9417,b34d:63a3:a3e1:30c9:82e6:8862:fee:fe0d,UDP,236,62 > 40873 Len=236
146,0.079263,c2d:2934:31ca:32a:5436:fa01:720c:b4a5,a317:ab8d:99f0:f075:911f:9f6e:793e:b722,UDP,263,480 > 49928 Len=263
147,0.069973,a5dd:164c:f6d9:d70:3255:216c:daaa:e1ca,c3d1:7d3c:f88a:83d4:5133:7f4a:7254:5c3c,UDP,476,506 > 58688 Len=476
148,0.008044,80e1:3278:57e7:96c4:354b:1382:ceb9:3ddf,f07e:8c9d:f721:a384:2304:70c9:1365:b6cd,UDP,365,619 > 46408 Len=365
149,0.002586,5026:f1ed:d687:944e:1b44:8d38:3bf9:48c1,8de9:60c9:9b37:54c6:9807:2241:a3f5:bb70,UDP,494,602 > 31359 Len=494
150,0.099957,9ad0:9101:4c60:21fc:5e92:d5a2:bf3a:ebd2,4f11:dfff:1e3:bba4:338f:230c:a15e:7a39,UDP,220,782 > 41481 Len=220
151,0.04705,34c8:41cc:a145:2e78:5c2c:351d:e7e4:9efb,fbc2:c84b:e383:412b:c649:eea8:59df:ee82,UDP,292,1021 > 58566 Len=292
152,0.063478,f7ae:c63b:1dad:635b:12b8:b738:a168:484b,d706:5ad1:f3db:62bf:1016:56d5:c48d:4693,UDP,440,357 > 56761 Len=440
153,0.033331,6a8e:a205:295a:16:9aba:1eaf:52d2:a3,fe64:6b19:2348:6ba1:ce43:62f5:808b:d10c,UDP,368,422 > 62471 Len=368
154,0.028822,85a2:96a4:887a:9a6c:a77e:d0c6:53a6:3acb,8cbc:a8b9:5314:7928:30e4:fee0:6a6b:e193,UDP,481,38 > 59807 Len=481
155,0.008806,dd66:7683:a0e9:6d9:bc20:ac01:e330:a2fe,c41e:f17d:8f8e:a5dc:1d38:b814:bfbe:4b4d,UDP,259,994 > 56488 Len=259
156,0.086491,44f0:bb3f:d3ff:d99d:1254:8957:e274:2ec7,7387:55f2:81ab:3abc:eb03:b4e7:2d47:2c59,UDP,477,474 > 57082 Len=477
157,0.00542,e4b9:a226:3dd2:f25f:b743:89f4:6ddf:6ac,4a39:5d6d:243d:cad:4990:bf1e:bcbf:6cb2,UDP,455,641 > 58969 Len=455
158,0.075999,965f:3e41:922d:6f47:2a6b:d96e:6a85:4116,14fd:eb63:73:757e:a717:87c5:3443:bda1,UDP,481,135 > 48876 Len=481
159,0.043812,ca6e:1fc4:6bcc:4262:1965:b8a:9432:b322,f7a1:eeb9:d08e:b645:f189:b9e4:935e:2188,UDP,214,997 > 45682 Len=214
160,0.070978,8cbd:3eb5:2860:1599:3e4:35b4:16e3:bf24,40b:b952:6201:edda:76c:bc8c:6890:c73d,UDP,207,566 > 56738 Len=207
161,0.009321,e2be:1025:1cd7:9b5e:da5b:4da8:84a2:9506,7567:ea07:5d59:f23b:9803:3d33:2e3c:af09,UDP,260,664 > 40090 Len=260
